,Ex-Showroom/ On-Road,Price,company,model,variant
4216,Chennai,Rs.14.60 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark Diesel
4217,Ahmedabad,Rs.13.19 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark Diesel
4218,Lucknow,Rs.13.65 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark Diesel
4219,Jaipur,Rs.14.09 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark Diesel
4220,Patna,Rs.13.77 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark Diesel
4221,Chandigarh,Rs.13.65 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark Diesel
4222,Ex-Showroom Price,"Rs.13,44,790",TATA,NEXON,Nexon Fearless Plus PS Dark DCA
4223,Bangalore,Rs.16.85 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark DCA
4224,Mumbai,Rs.15.82 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark DCA
4225,Pune,Rs.16.04 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark DCA
4226,Hyderabad,Rs.16.60 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark DCA
4227,Chennai,Rs.16.63 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark DCA
4228,Ahmedabad,Rs.15.01 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark DCA
4229,Lucknow,Rs.15.54 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark DCA
4230,Jaipur,Rs.15.58 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark DCA
4231,Patna,Rs.15.67 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark DCA
4232,Chandigarh,Rs.15.54 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark DCA
4233,Ex-Showroom Price,"Rs.10,70,390",TATA,NEXON,Nexon Creative AMT
4234,Bangalore,Rs.13.45 Lakh*,TATA,NEXON,Nexon Creative AMT
4235,Mumbai,Rs.12.62 Lakh*,TATA,NEXON,Nexon Creative AMT
4236,Pune,Rs.12.81 Lakh*,TATA,NEXON,Nexon Creative AMT
4237,Hyderabad,Rs.13.25 Lakh*,TATA,NEXON,Nexon Creative AMT
4238,Chennai,Rs.13.26 Lakh*,TATA,NEXON,Nexon Creative AMT
4239,Ahmedabad,Rs.11.97 Lakh*,TATA,NEXON,Nexon Creative AMT
4240,Lucknow,Rs.12.39 Lakh*,TATA,NEXON,Nexon Creative AMT
4241,Jaipur,Rs.12.43 Lakh*,TATA,NEXON,Nexon Creative AMT
4242,Patna,Rs.12.50 Lakh*,TATA,NEXON,Nexon Creative AMT
4243,Chandigarh,Rs.12.39 Lakh*,TATA,NEXON,Nexon Creative AMT
4244,Ex-Showroom Price,"Rs.7,99,900",TATA,PUNCH,Punch Pure Plus CNG
4245,Bangalore,Rs.9.54 Lakh*,TATA,PUNCH,Punch Pure Plus CNG
4246,Mumbai,Rs.8.98 Lakh*,TATA,PUNCH,Punch Pure Plus CNG
4247,Pune,Rs.8.98 Lakh*,TATA,PUNCH,Punch Pure Plus CNG
4248,Hyderabad,Rs.9.54 Lakh*,TATA,PUNCH,Punch Pure Plus CNG
4249,Chennai,Rs.9.46 Lakh*,TATA,PUNCH,Punch Pure Plus CNG
4250,Ahmedabad,Rs.8.90 Lakh*,TATA,PUNCH,Punch Pure Plus CNG
4251,Lucknow,Rs.9.05 Lakh*,TATA,PUNCH,Punch Pure Plus CNG
4252,Jaipur,Rs.9.25 Lakh*,TATA,PUNCH,Punch Pure Plus CNG
4253,Patna,Rs.9.21 Lakh*,TATA,PUNCH,Punch Pure Plus CNG
4254,Chandigarh,Rs.9.21 Lakh*,TATA,PUNCH,Punch Pure Plus CNG
4255,Ex-Showroom Price,"Rs.7,99,900",HYUNDAI,VENUE,Venue HX 2
4256,Bangalore,Rs.9.54 Lakh*,HYUNDAI,VENUE,Venue HX 2
4257,Mumbai,Rs.9.30 Lakh*,HYUNDAI,VENUE,Venue HX 2
4258,Pune,Rs.9.30 Lakh*,HYUNDAI,VENUE,Venue HX 2
4259,Hyderabad,Rs.9.54 Lakh*,HYUNDAI,VENUE,Venue HX 2
4260,Chennai,Rs.9.46 Lakh*,HYUNDAI,VENUE,Venue HX 2
4261,Ahmedabad,Rs.8.90 Lakh*,HYUNDAI,VENUE,Venue HX 2
4262,Lucknow,Rs.9.05 Lakh*,HYUNDAI,VENUE,Venue HX 2
4263,Jaipur,Rs.9.25 Lakh*,HYUNDAI,VENUE,Venue HX 2
4264,Patna,Rs.9.21 Lakh*,HYUNDAI,VENUE,Venue HX 2
4265,Chandigarh,Rs.9.21 Lakh*,HYUNDAI,VENUE,Venue HX 2
4266,Ex-Showroom Price,"Rs.16,25,000",MAHINDRA,THAR,Thar LXT 4WD AT
4267,Bangalore,Rs.20.77 Lakh*,MAHINDRA,THAR,Thar LXT 4WD AT
4268,Mumbai,Rs.19.55 Lakh*,MAHINDRA,THAR,Thar LXT 4WD AT
4269,Pune,Rs.19.28 Lakh*,MAHINDRA,THAR,Thar LXT 4WD AT
4270,Hyderabad,Rs.20.09 Lakh*,MAHINDRA,THAR,Thar LXT 4WD AT
4271,Chennai,Rs.20.26 Lakh*,MAHINDRA,THAR,Thar LXT 4WD AT
4272,Ahmedabad,Rs.18.31 Lakh*,MAHINDRA,THAR,Thar LXT 4WD AT
4273,Lucknow,Rs.18.94 Lakh*,MAHINDRA,THAR,Thar LXT 4WD AT
4274,Jaipur,Rs.19.58 Lakh*,MAHINDRA,THAR,Thar LXT 4WD AT
4275,Patna,Rs.19.43 Lakh*,MAHINDRA,THAR,Thar LXT 4WD AT
4276,Chandigarh,Rs.19.26 Lakh*,MAHINDRA,THAR,Thar LXT 4WD AT
4277,Ex-Showroom Price,"Rs.17,69,000",KIA,SELTOS,Seltos HTX TGDi DCT
4278,Bangalore,Rs.21.91 Lakh*,KIA,SELTOS,Seltos HTX TGDi DCT
4279,Mumbai,Rs.20.71 Lakh*,KIA,SELTOS,Seltos HTX TGDi DCT
4280,Pune,Rs.20.77 Lakh*,KIA,SELTOS,Seltos HTX TGDi DCT
4281,Hyderabad,Rs.21.65 Lakh*,KIA,SELTOS,Seltos HTX TGDi DCT
4282,Chennai,Rs.21.83 Lakh*,KIA,SELTOS,Seltos HTX TGDi DCT
4283,Ahmedabad,Rs.19.71 Lakh*,KIA,SELTOS,Seltos HTX TGDi DCT
4284,Lucknow,Rs.20.40 Lakh*,KIA,SELTOS,Seltos HTX TGDi DCT
4285,Jaipur,Rs.20.64 Lakh*,KIA,SELTOS,Seltos HTX TGDi DCT
4286,Patna,Rs.20.93 Lakh*,KIA,SELTOS,Seltos HTX TGDi DCT
4287,Chandigarh,Rs.20.75 Lakh*,KIA,SELTOS,Seltos HTX TGDi DCT
4288,Ex-Showroom Price,"Rs.13,19,398",MAHINDRA,SCORPIO,Scorpio S 9 Seater
4289,Bangalore,Rs.16.73 Lakh*,MAHINDRA,SCORPIO,Scorpio S 9 Seater
4290,Mumbai,Rs.16.05 Lakh*,MAHINDRA,SCORPIO,Scorpio S 9 Seater
4291,Pune,Rs.16.03 Lakh*,MAHINDRA,SCORPIO,Scorpio S 9 Seater
4292,Hyderabad,Rs.16.37 Lakh*,MAHINDRA,SCORPIO,Scorpio S 9 Seater
4293,Chennai,Rs.16.50 Lakh*,MAHINDRA,SCORPIO,Scorpio S 9 Seater
4294,Ahmedabad,Rs.15.12 Lakh*,MAHINDRA,SCORPIO,Scorpio S 9 Seater
4295,Lucknow,Rs.15.43 Lakh*,MAHINDRA,SCORPIO,Scorpio S 9 Seater
4296,Jaipur,Rs.16.18 Lakh*,MAHINDRA,SCORPIO,Scorpio S 9 Seater
4297,Patna,Rs.15.56 Lakh*,MAHINDRA,SCORPIO,Scorpio S 9 Seater
4298,Chandigarh,Rs.15.43 Lakh*,MAHINDRA,SCORPIO,Scorpio S 9 Seater
4299,Ex-Showroom Price,"Rs.16,70,498",MAHINDRA,SCORPIO,Scorpio S 11 7CC
4300,Bangalore,Rs.20.65 Lakh*,MAHINDRA,SCORPIO,Scorpio S 11 7CC
4301,Mumbai,Rs.20.15 Lakh*,MAHINDRA,SCORPIO,Scorpio S 11 7CC
4302,Pune,Rs.20.15 Lakh*,MAHINDRA,SCORPIO,Scorpio S 11 7CC
4303,Hyderabad,Rs.20.65 Lakh*,MAHINDRA,SCORPIO,Scorpio S 11 7CC
4304,Chennai,Rs.20.82 Lakh*,MAHINDRA,SCORPIO,Scorpio S 11 7CC
4305,Ahmedabad,Rs.19.04 Lakh*,MAHINDRA,SCORPIO,Scorpio S 11 7CC
4306,Lucknow,Rs.19.46 Lakh*,MAHINDRA,SCORPIO,Scorpio S 11 7CC
4307,Jaipur,Rs.20.12 Lakh*,MAHINDRA,SCORPIO,Scorpio S 11 7CC
4308,Patna,Rs.19.96 Lakh*,MAHINDRA,SCORPIO,Scorpio S 11 7CC
4309,Chandigarh,Rs.19.79 Lakh*,MAHINDRA,SCORPIO,Scorpio S 11 7CC
4310,Ex-Showroom Price,"Rs.10,71,399",mahindra,xuv300,XUV300 W6 Turbosport BSVI
4311,Ex-Showroom Price,"Rs.10,95,000",mahindra,xuv300,XUV300 W8 Diesel BSIV
4312,Ex-Showroom Price,"Rs.18,57,600",MARUTI,GRAND VITARA,Grand Vitara Alpha AWD Opt AT
4313,Bangalore,Rs.22.73 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AWD Opt AT
4314,Mumbai,Rs.21.69 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AWD Opt AT
4315,Pune,Rs.21.62 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AWD Opt AT
4316,Hyderabad,Rs.22.88 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AWD Opt AT
4317,Chennai,Rs.22.62 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AWD Opt AT
4318,Ahmedabad,Rs.20.49 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AWD Opt AT
4319,Lucknow,Rs.21.41 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AWD Opt AT
4320,Jaipur,Rs.21.67 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AWD Opt AT
4321,Patna,Rs.21.97 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AWD Opt AT
4322,Chandigarh,Rs.20.74 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AWD Opt AT
4323,Ex-Showroom Price,"Rs.15,49,000",MAHINDRA,THAR,Thar LXT 4WD Diesel
4324,Bangalore,Rs.19.83 Lakh*,MAHINDRA,THAR,Thar LXT 4WD Diesel
4325,Mumbai,Rs.18.99 Lakh*,MAHINDRA,THAR,Thar LXT 4WD Diesel
4326,Pune,Rs.18.51 Lakh*,MAHINDRA,THAR,Thar LXT 4WD Diesel
4327,Hyderabad,Rs.18.98 Lakh*,MAHINDRA,THAR,Thar LXT 4WD Diesel
4328,Chennai,Rs.19.13 Lakh*,MAHINDRA,THAR,Thar LXT 4WD Diesel
4329,Ahmedabad,Rs.17.27 Lakh*,MAHINDRA,THAR,Thar LXT 4WD Diesel
4330,Lucknow,Rs.17.88 Lakh*,MAHINDRA,THAR,Thar LXT 4WD Diesel
4331,Jaipur,Rs.19.08 Lakh*,MAHINDRA,THAR,Thar LXT 4WD Diesel
4332,Patna,Rs.18.34 Lakh*,MAHINDRA,THAR,Thar LXT 4WD Diesel
4333,Chandigarh,Rs.18.19 Lakh*,MAHINDRA,THAR,Thar LXT 4WD Diesel
4334,Ex-Showroom Price,"Rs.7,34,900",TATA,PUNCH,Punch Pure Plus S
4335,Bangalore,Rs.8.78 Lakh*,TATA,PUNCH,Punch Pure Plus S
4336,Mumbai,Rs.8.56 Lakh*,TATA,PUNCH,Punch Pure Plus S
4337,Pune,Rs.8.56 Lakh*,TATA,PUNCH,Punch Pure Plus S
4338,Hyderabad,Rs.8.78 Lakh*,TATA,PUNCH,Punch Pure Plus S
4339,Chennai,Rs.8.70 Lakh*,TATA,PUNCH,Punch Pure Plus S
4340,Ahmedabad,Rs.8.19 Lakh*,TATA,PUNCH,Punch Pure Plus S
4341,Lucknow,Rs.8.33 Lakh*,TATA,PUNCH,Punch Pure Plus S
4342,Jaipur,Rs.8.51 Lakh*,TATA,PUNCH,Punch Pure Plus S
4343,Patna,Rs.8.47 Lakh*,TATA,PUNCH,Punch Pure Plus S
4344,Chandigarh,Rs.8.47 Lakh*,TATA,PUNCH,Punch Pure Plus S
4345,Ex-Showroom Price,"Rs.8,69,000",MAHINDRA,BOLERO,Bolero B6
4346,Bangalore,Rs.10.70 Lakh*,MAHINDRA,BOLERO,Bolero B6
4347,Mumbai,Rs.10.27 Lakh*,MAHINDRA,BOLERO,Bolero B6
4348,Pune,Rs.10.27 Lakh*,MAHINDRA,BOLERO,Bolero B6
4349,Hyderabad,Rs.10.35 Lakh*,MAHINDRA,BOLERO,Bolero B6
4350,Chennai,Rs.10.27 Lakh*,MAHINDRA,BOLERO,Bolero B6
4351,Ahmedabad,Rs.10.19 Lakh*,MAHINDRA,BOLERO,Bolero B6
4352,Lucknow,Rs.9.82 Lakh*,MAHINDRA,BOLERO,Bolero B6
4353,Jaipur,Rs.10.60 Lakh*,MAHINDRA,BOLERO,Bolero B6
4354,Patna,Rs.10.08 Lakh*,MAHINDRA,BOLERO,Bolero B6
4355,Chandigarh,Rs.10 Lakh*,MAHINDRA,BOLERO,Bolero B6
4356,Ex-Showroom Price,"Rs.11,28,150",mahindra,xuv300,XUV300 W6 AMT Diesel Sunroof BSVI
4357,Ex-Showroom Price,"Rs.10,87,500",MARUTI,VITARA BREZZA,Vitara Brezza ZXI AT
4358,Ex-Showroom Price,"Rs.20,20,000",HYUNDAI,CRETA,Creta King Knight Diesel AT DT
4359,Bangalore,Rs.24.91 Lakh*,HYUNDAI,CRETA,Creta King Knight Diesel AT DT
4360,Mumbai,Rs.24.30 Lakh*,HYUNDAI,CRETA,Creta King Knight Diesel AT DT
4361,Pune,Rs.24.30 Lakh*,HYUNDAI,CRETA,Creta King Knight Diesel AT DT
4362,Hyderabad,Rs.24.91 Lakh*,HYUNDAI,CRETA,Creta King Knight Diesel AT DT
4363,Chennai,Rs.25.31 Lakh*,HYUNDAI,CRETA,Creta King Knight Diesel AT DT
4364,Ahmedabad,Rs.22.48 Lakh*,HYUNDAI,CRETA,Creta King Knight Diesel AT DT
4365,Lucknow,Rs.23.27 Lakh*,HYUNDAI,CRETA,Creta King Knight Diesel AT DT
4366,Jaipur,Rs.24 Lakh*,HYUNDAI,CRETA,Creta King Knight Diesel AT DT
4367,Patna,Rs.23.88 Lakh*,HYUNDAI,CRETA,Creta King Knight Diesel AT DT
4368,Chandigarh,Rs.22.43 Lakh*,HYUNDAI,CRETA,Creta King Knight Diesel AT DT
4369,Ex-Showroom Price,"Rs.14,60,000",MARUTI,GRAND VITARA,Grand Vitara Zeta CNG
4370,Bangalore,Rs.17.89 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta CNG
4371,Mumbai,Rs.16.64 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta CNG
4372,Pune,Rs.16.60 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta CNG
4373,Hyderabad,Rs.17.97 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta CNG
4374,Chennai,Rs.17.81 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta CNG
4375,Ahmedabad,Rs.16.16 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta CNG
4376,Lucknow,Rs.16.86 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta CNG
4377,Jaipur,Rs.17.06 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta CNG
4378,Patna,Rs.17 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta CNG
4379,Chandigarh,Rs.16.34 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta CNG
4380,Ex-Showroom Price,"Rs.19,92,900",mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str AT
4381,Bangalore,Rs.24.58 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str AT
4382,Mumbai,Rs.23.58 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str AT
4383,Pune,Rs.23.63 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str AT
4384,Hyderabad,Rs.24.58 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str AT
4385,Chennai,Rs.24.78 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str AT
4386,Ahmedabad,Rs.22.62 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str AT
4387,Lucknow,Rs.23.16 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str AT
4388,Jaipur,Rs.23.54 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str AT
4389,Patna,Rs.23.76 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str AT
4390,Chandigarh,Rs.23.56 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str AT
4391,Ex-Showroom Price,"Rs.15,05,000",MARUTI,GRAND VITARA,Grand Vitara Zeta AT
4392,Bangalore,Rs.18.44 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta AT
4393,Mumbai,Rs.17.61 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta AT
4394,Pune,Rs.17.55 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta AT
4395,Hyderabad,Rs.18.54 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta AT
4396,Chennai,Rs.18.36 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta AT
4397,Ahmedabad,Rs.16.62 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta AT
4398,Lucknow,Rs.17.37 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta AT
4399,Jaipur,Rs.17.58 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta AT
4400,Patna,Rs.17.82 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta AT
4401,Chandigarh,Rs.16.84 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta AT
4402,Ex-Showroom Price,"Rs.8,58,900",MARUTI,FRONX,FRONX Delta CNG
4403,Bangalore,Rs.10.24 Lakh*,MARUTI,FRONX,FRONX Delta CNG
4404,Mumbai,Rs.9.69 Lakh*,MARUTI,FRONX,FRONX Delta CNG
4405,Pune,Rs.9.69 Lakh*,MARUTI,FRONX,FRONX Delta CNG
4406,Hyderabad,Rs.10.21 Lakh*,MARUTI,FRONX,FRONX Delta CNG
4407,Chennai,Rs.10.14 Lakh*,MARUTI,FRONX,FRONX Delta CNG
4408,Ahmedabad,Rs.9.62 Lakh*,MARUTI,FRONX,FRONX Delta CNG
4409,Lucknow,Rs.9.71 Lakh*,MARUTI,FRONX,FRONX Delta CNG
4410,Jaipur,Rs.9.92 Lakh*,MARUTI,FRONX,FRONX Delta CNG
4411,Patna,Rs.9.97 Lakh*,MARUTI,FRONX,FRONX Delta CNG
4412,Chandigarh,Rs.9.73 Lakh*,MARUTI,FRONX,FRONX Delta CNG
4413,Ex-Showroom Price,"Rs.10,57,186",mahindra,xuv300,XUV300 W6 AMT Sunroof BSVI
4414,Ex-Showroom Price,"Rs.18,49,000",KIA,SELTOS,Seltos HTX Diesel AT
4415,Bangalore,Rs.22.89 Lakh*,KIA,SELTOS,Seltos HTX Diesel AT
4416,Mumbai,Rs.22.01 Lakh*,KIA,SELTOS,Seltos HTX Diesel AT
4417,Pune,Rs.22.07 Lakh*,KIA,SELTOS,Seltos HTX Diesel AT
4418,Hyderabad,Rs.22.63 Lakh*,KIA,SELTOS,Seltos HTX Diesel AT
4419,Chennai,Rs.22.81 Lakh*,KIA,SELTOS,Seltos HTX Diesel AT
4420,Ahmedabad,Rs.20.07 Lakh*,KIA,SELTOS,Seltos HTX Diesel AT
4421,Lucknow,Rs.21.31 Lakh*,KIA,SELTOS,Seltos HTX Diesel AT
4422,Jaipur,Rs.21.98 Lakh*,KIA,SELTOS,Seltos HTX Diesel AT
4423,Patna,Rs.21.87 Lakh*,KIA,SELTOS,Seltos HTX Diesel AT
4424,Chandigarh,Rs.21.68 Lakh*,KIA,SELTOS,Seltos HTX Diesel AT
4425,Ex-Showroom Price,"Rs.9,27,890",TATA,NEXON,Nexon Smart Plus S Diesel
4426,Bangalore,Rs.11.28 Lakh*,TATA,NEXON,Nexon Smart Plus S Diesel
4427,Mumbai,Rs.10.95 Lakh*,TATA,NEXON,Nexon Smart Plus S Diesel
4428,Pune,Rs.11.14 Lakh*,TATA,NEXON,Nexon Smart Plus S Diesel
4429,Hyderabad,Rs.11.04 Lakh*,TATA,NEXON,Nexon Smart Plus S Diesel
4430,Chennai,Rs.10.95 Lakh*,TATA,NEXON,Nexon Smart Plus S Diesel
4431,Ahmedabad,Rs.10.30 Lakh*,TATA,NEXON,Nexon Smart Plus S Diesel
4432,Lucknow,Rs.10.48 Lakh*,TATA,NEXON,Nexon Smart Plus S Diesel
4433,Jaipur,Rs.11.02 Lakh*,TATA,NEXON,Nexon Smart Plus S Diesel
4434,Patna,Rs.10.76 Lakh*,TATA,NEXON,Nexon Smart Plus S Diesel
4435,Chandigarh,Rs.10.67 Lakh*,TATA,NEXON,Nexon Smart Plus S Diesel
4436,Ex-Showroom Price,"Rs.11,61,790",TATA,NEXON,Nexon Creative Plus PS Dark
4437,Bangalore,Rs.14.58 Lakh*,TATA,NEXON,Nexon Creative Plus PS Dark
4438,Mumbai,Rs.13.68 Lakh*,TATA,NEXON,Nexon Creative Plus PS Dark
4439,Pune,Rs.13.89 Lakh*,TATA,NEXON,Nexon Creative Plus PS Dark
4440,Hyderabad,Rs.14.36 Lakh*,TATA,NEXON,Nexon Creative Plus PS Dark
4441,Chennai,Rs.14.38 Lakh*,TATA,NEXON,Nexon Creative Plus PS Dark
4442,Ahmedabad,Rs.12.99 Lakh*,TATA,NEXON,Nexon Creative Plus PS Dark
4443,Lucknow,Rs.13.44 Lakh*,TATA,NEXON,Nexon Creative Plus PS Dark
4444,Jaipur,Rs.13.48 Lakh*,TATA,NEXON,Nexon Creative Plus PS Dark
4445,Patna,Rs.13.56 Lakh*,TATA,NEXON,Nexon Creative Plus PS Dark
4446,Chandigarh,Rs.13.44 Lakh*,TATA,NEXON,Nexon Creative Plus PS Dark
4447,Ex-Showroom Price,"Rs.10,04,783",KIA,SONET,Sonet HTK Plus (O) Turbo iMT
4448,Bangalore,Rs.12.29 Lakh*,KIA,SONET,Sonet HTK Plus (O) Turbo iMT
4449,Mumbai,Rs.11.85 Lakh*,KIA,SONET,Sonet HTK Plus (O) Turbo iMT
4450,Pune,Rs.11.81 Lakh*,KIA,SONET,Sonet HTK Plus (O) Turbo iMT
4451,Hyderabad,Rs.12.35 Lakh*,KIA,SONET,Sonet HTK Plus (O) Turbo iMT
4452,Chennai,Rs.12.39 Lakh*,KIA,SONET,Sonet HTK Plus (O) Turbo iMT
4453,Ahmedabad,Rs.11.31 Lakh*,KIA,SONET,Sonet HTK Plus (O) Turbo iMT
4454,Lucknow,Rs.11.57 Lakh*,KIA,SONET,Sonet HTK Plus (O) Turbo iMT
4455,Jaipur,Rs.11.50 Lakh*,KIA,SONET,Sonet HTK Plus (O) Turbo iMT
4456,Patna,Rs.11.73 Lakh*,KIA,SONET,Sonet HTK Plus (O) Turbo iMT
4457,Chandigarh,Rs.11.57 Lakh*,KIA,SONET,Sonet HTK Plus (O) Turbo iMT
4458,Ex-Showroom Price,"Rs.15,92,000",TOYOTA,HYRYDER,Hyryder V Dual Tone
4459,Bangalore,Rs.19.78 Lakh*,TOYOTA,HYRYDER,Hyryder V Dual Tone
4460,Mumbai,Rs.18.70 Lakh*,TOYOTA,HYRYDER,Hyryder V Dual Tone
4461,Pune,Rs.18.70 Lakh*,TOYOTA,HYRYDER,Hyryder V Dual Tone
4462,Hyderabad,Rs.20.21 Lakh*,TOYOTA,HYRYDER,Hyryder V Dual Tone
4463,Chennai,Rs.19.66 Lakh*,TOYOTA,HYRYDER,Hyryder V Dual Tone
4464,Ahmedabad,Rs.17.75 Lakh*,TOYOTA,HYRYDER,Hyryder V Dual Tone
4465,Lucknow,Rs.18.37 Lakh*,TOYOTA,HYRYDER,Hyryder V Dual Tone
4466,Jaipur,Rs.18.69 Lakh*,TOYOTA,HYRYDER,Hyryder V Dual Tone
4467,Patna,Rs.18.85 Lakh*,TOYOTA,HYRYDER,Hyryder V Dual Tone
4468,Chandigarh,Rs.18.69 Lakh*,TOYOTA,HYRYDER,Hyryder V Dual Tone
4469,Ex-Showroom Price,"Rs.12,00,501",mahindra,xuv300,XUV300 W8 Turbo
4470,Ex-Showroom Price,"Rs.14,55,000",mahindra,xuv_3xo,XUV 3XO AX7 L Turbo AT
4471,Bangalore,Rs.18.22 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 L Turbo AT
4472,Mumbai,Rs.17.10 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 L Turbo AT
4473,Pune,Rs.17.10 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 L Turbo AT
4474,Hyderabad,Rs.17.83 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 L Turbo AT
4475,Chennai,Rs.17.98 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 L Turbo AT
4476,Ahmedabad,Rs.16.23 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 L Turbo AT
4477,Lucknow,Rs.16.80 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 L Turbo AT
4478,Jaipur,Rs.16.91 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 L Turbo AT
4479,Patna,Rs.16.94 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 L Turbo AT
4480,Chandigarh,Rs.16.80 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 L Turbo AT
4481,Ex-Showroom Price,"Rs.9,10,125",KIA,SONET,Sonet HTK (O) Turbo iMT
4482,Bangalore,Rs.10.77 Lakh*,KIA,SONET,Sonet HTK (O) Turbo iMT
4483,Mumbai,Rs.10.57 Lakh*,KIA,SONET,Sonet HTK (O) Turbo iMT
4484,Pune,Rs.10.53 Lakh*,KIA,SONET,Sonet HTK (O) Turbo iMT
4485,Hyderabad,Rs.10.74 Lakh*,KIA,SONET,Sonet HTK (O) Turbo iMT
4486,Chennai,Rs.10.68 Lakh*,KIA,SONET,Sonet HTK (O) Turbo iMT
4487,Ahmedabad,Rs.10.15 Lakh*,KIA,SONET,Sonet HTK (O) Turbo iMT
4488,Lucknow,Rs.10.22 Lakh*,KIA,SONET,Sonet HTK (O) Turbo iMT
4489,Jaipur,Rs.10.34 Lakh*,KIA,SONET,Sonet HTK (O) Turbo iMT
4490,Patna,Rs.10.55 Lakh*,KIA,SONET,Sonet HTK (O) Turbo iMT
4491,Chandigarh,Rs.10.40 Lakh*,KIA,SONET,Sonet HTK (O) Turbo iMT
4492,Ex-Showroom Price,"Rs.15,69,100",HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone
4493,Bangalore,Rs.19.22 Lakh*,HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone
4494,Mumbai,Rs.18.75 Lakh*,HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone
4495,Pune,Rs.18.75 Lakh*,HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone
