,Ex-Showroom/ On-Road,Price,company,model,variant
225,Bangalore,Rs.23.08 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str
226,Mumbai,Rs.22.15 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str
227,Pune,Rs.22.20 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str
228,Hyderabad,Rs.23.08 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str
229,Chennai,Rs.23.27 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str
230,Ahmedabad,Rs.21.25 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str
231,Lucknow,Rs.21.75 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str
232,Jaipur,Rs.22.02 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str
233,Patna,Rs.22.31 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str
234,Chandigarh,Rs.22.13 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str
235,Ex-Showroom Price,"Rs.9,70,900",MARUTI,FRONX,FRONX Zeta Turbo
236,Bangalore,Rs.11.49 Lakh*,MARUTI,FRONX,FRONX Zeta Turbo
237,Mumbai,Rs.11.23 Lakh*,MARUTI,FRONX,FRONX Zeta Turbo
238,Pune,Rs.11.21 Lakh*,MARUTI,FRONX,FRONX Zeta Turbo
239,Hyderabad,Rs.11.84 Lakh*,MARUTI,FRONX,FRONX Zeta Turbo
240,Chennai,Rs.11.36 Lakh*,MARUTI,FRONX,FRONX Zeta Turbo
241,Ahmedabad,Rs.10.81 Lakh*,MARUTI,FRONX,FRONX Zeta Turbo
242,Lucknow,Rs.10.90 Lakh*,MARUTI,FRONX,FRONX Zeta Turbo
243,Jaipur,Rs.11.13 Lakh*,MARUTI,FRONX,FRONX Zeta Turbo
244,Patna,Rs.11.19 Lakh*,MARUTI,FRONX,FRONX Zeta Turbo
245,Chandigarh,Rs.10.98 Lakh*,MARUTI,FRONX,FRONX Zeta Turbo
246,Ex-Showroom Price,"Rs.8,98,409",KIA,SONET,Sonet HTE (O) Diesel
247,Bangalore,Rs.10.70 Lakh*,KIA,SONET,Sonet HTE (O) Diesel
248,Mumbai,Rs.10.68 Lakh*,KIA,SONET,Sonet HTE (O) Diesel
249,Pune,Rs.10.64 Lakh*,KIA,SONET,Sonet HTE (O) Diesel
250,Hyderabad,Rs.10.66 Lakh*,KIA,SONET,Sonet HTE (O) Diesel
251,Chennai,Rs.10.61 Lakh*,KIA,SONET,Sonet HTE (O) Diesel
252,Ahmedabad,Rs.10.08 Lakh*,KIA,SONET,Sonet HTE (O) Diesel
253,Lucknow,Rs.10.15 Lakh*,KIA,SONET,Sonet HTE (O) Diesel
254,Jaipur,Rs.10.58 Lakh*,KIA,SONET,Sonet HTE (O) Diesel
255,Patna,Rs.10.48 Lakh*,KIA,SONET,Sonet HTE (O) Diesel
256,Chandigarh,Rs.10.33 Lakh*,KIA,SONET,Sonet HTE (O) Diesel
257,Ex-Showroom Price,"Rs.14,23,100",TOYOTA,HYRYDER,Hyryder G Opt
258,Bangalore,Rs.17.98 Lakh*,TOYOTA,HYRYDER,Hyryder G Opt
259,Mumbai,Rs.16.73 Lakh*,TOYOTA,HYRYDER,Hyryder G Opt
260,Pune,Rs.16.73 Lakh*,TOYOTA,HYRYDER,Hyryder G Opt
261,Hyderabad,Rs.18.10 Lakh*,TOYOTA,HYRYDER,Hyryder G Opt
